object_id,title,period,type,material,description,dimensions,museum,location,detail_url,image_url,image_path,credit_line,accession_number,crawl_date
696803,Avenging the Dead,1945,Print,Woodblock print; ink and oil on paper,"Yan’an prints were made by artists active in the military base of Yan’an, Shaanxi province, North China, at the end of the Long March (1934–1936) and during the continuing civil war and Japanese invasion in the 1940s. Prints were made to help support the effort to build a modernized state and fight the enemy. They illustrate battle scenes, and the effort to bring education and aid to the rural population. Prints were given to foreigners, such as aid workers, doctors, and soldiers who, it was hoped, would support Chinese social and military efforts.",16.8 x 22.5 cm (6 5/8 x 8 7/8 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.560,,,Sundry Art - Miscellaneous Fund,2025.560,2026-05-11
697013,Vladimir Lenin,1949–76,Print,Woodcut print; ink and oil on paper,"Under Chairman Mao, printmakers were encouraged to continue to make prints in support of the country’s modernization efforts. Themes included women joining the workforce as soldiers, farmers, and steel workers to help construct the new socialist state, as well as joining men in the fields. New motifs such as tractors, trains, electrical equipment, and smoking chimneys were introduced into landscape scenery to illustrate a prospering China.",22 x 16 cm (8 11/16 x 6 5/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.569,,,Gift of Professors Tom and Patricia Ebrey,2025.569,2026-05-11
697052,Banks of the Jinsha River,1961,Print,Woodcut print; ink and oil on paper,"Under Chairman Mao, printmakers were encouraged to continue to make prints in support of the country’s modernization efforts. Themes included women joining the workforce as soldiers, farmers, and steel workers to help construct the new socialist state, as well as joining men in the fields. New motifs such as tractors, trains, electrical equipment, and smoking chimneys were introduced into landscape scenery to illustrate a prospering China.",41 x 23 cm (16 1/8 x 9 1/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.575,,,Gift of Professors Tom and Patricia Ebrey,2025.575,2026-05-11
679090,Satirical Prints of Suzhou Customs,1760,Print,Woodblock print; ink on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",35.8 x 52 cm (14 1/8 x 20 1/2 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.63,,,Purchase from the J. H. Wade Fund,2025.63,2026-05-11
679094,Story of the Western Chamber – The Delivery of the Love Letter,1736–95,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",52.3 x 26.8 cm (20 9/16 x 10 9/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.66,,,Purchase from the J. H. Wade Fund,2025.66,2026-05-11
679095,Destined to Succeed in the Examinations,1736–95,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",55.5 x 29.2 cm (21 7/8 x 11 1/2 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.67,,,Purchase from the J. H. Wade Fund,2025.67,2026-05-11
679099,A Newly-Cut Print: Scenes from the Second Part of Record of the Three Kingdoms,1796–1820,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",32.3 x 48.7 cm (12 11/16 x 19 3/16 in.); Overall: 48.5 x 64.4 cm (19 1/8 x 25 3/8 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.71,,,Purchase from the J. H. Wade Fund,2025.71,2026-05-11
679102,The Spring Ox,1882,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",Print only: 28 x 37.8 cm (11 x 14 7/8 in.); Overall: 47.9 x 63.5 cm (18 7/8 x 25 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.74,,,Purchase from the J. H. Wade Fund,2025.74,2026-05-11
679103,Illustrations of the Sui and Tang Dynasties,1736–95,Print,Woodblock print; ink on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",26.7 x 28.8 cm (10 1/2 x 11 5/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.75,,,Purchase from the J. H. Wade Fund,2025.75,2026-05-11
679114,Print of Xu Gate and the City Moat,1736–95,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",Diameter: 24.3 cm (9 9/16 in.); Sheet: 27.4 x 30.2 cm (10 13/16 x 11 7/8 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.86,,,Purchase from the J. H. Wade Fund,2025.86,2026-05-11
679118,Ladies Playing with a Baby,1736–95,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",67.2 x 51.5 cm (26 7/16 x 20 1/4 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.90,,,Purchase from the J. H. Wade Fund,2025.90,2026-05-11
679121,Zhang Qian Chances upon Douniu Celestial Palace,1723–95,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",61.3 x 30 cm (24 1/8 x 11 13/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.92.a,,,Purchase from the J. H. Wade Fund,2025.92.a,2026-05-11
679122,The Twenty Four Paragons of Filial Piety,1723–95,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",Print only: 59.7 x 27.7 cm (23 1/2 x 10 7/8 in.); Sheet: 62.3 x 29.6 cm (24 1/2 x 11 5/8 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.92.b,,,Purchase from the J. H. Wade Fund,2025.92.b,2026-05-11
679123,A Scene of Early Spring,1662–1735,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",Print only: 38.5 x 29.7 cm (15 3/16 x 11 11/16 in.); Overall: 63.3 x 41 cm (24 15/16 x 16 1/8 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.92.c,,,Purchase from the J. H. Wade Fund,2025.92.c,2026-05-11
679265,Story of the Western Chamber,1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",Print only: 98.2 x 52.7 cm (38 11/16 x 20 3/4 in.); Overall: 169.3 x 98.6 cm (66 5/8 x 38 13/16 in.); Overall with knobs: 169.3 x 76 x 3 cm (66 5/8 x 29 15/16 x 1 3/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.96,,,Purchase from the J. H. Wade Fund,2025.96,2026-05-11
679268,Fang Qing Collapses on the Snow and Encounters Bi Yunxian,1796–1820,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",34.5 x 47.3 cm (13 9/16 x 18 5/8 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.99,,,Purchase from the J. H. Wade Fund,2025.99,2026-05-11
679271,Eight Immortals and Twelve Zodiac Animals,1736–95,Print,Woodblock print; ink on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",Print only: 38.1 x 38 cm (15 x 14 15/16 in.); Overall: 47.4 x 47.7 cm (18 11/16 x 18 3/4 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.103,,,Purchase from the J. H. Wade Fund,2025.103,2026-05-11
679345,"Winter Basket: Narcissus, Camellia, and Wax Plum",1700–1750,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",30.2 x 37.3 cm (11 7/8 x 14 11/16 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.106,,,Purchase from the J. H. Wade Fund,2025.106,2026-05-11
679346,"Spring Basket: Peony, White Magnolia, and Peach Blossom",1700–1750,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",28.1 x 37.4 cm (11 1/16 x 14 3/4 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.107,,,Purchase from the J. H. Wade Fund,2025.107,2026-05-11
679354,Butterflies on Roses,1700–1750,Print,Polychrome woodblock print; ink and color on paper,"In the 1600s, printing flourished in such Jiangnan cities as Nanjing, Suzhou, Hangzhou, and Huizhou, evolving from privately enjoyed illustrated books printed in color to more commercialized single-sheet color prints that were hung on walls and became part of the rich urban visual culture.",27.3 x 38.4 cm (10 3/4 x 15 1/8 in.),The Cleveland Museum of Art,"Cleveland, Ohio, United States",https://clevelandart.org/art/2025.112,,,Purchase from the J. H. Wade Fund,2025.112,2026-05-11
